C0,k_base,DOC,pH,Concentration,Critical_Distance
694.2270276463012,0.3412849159678056,8.256929787020765,7.851080838454899,5.453287490028387e-11,6.883237756528322
543.5450264722443,0.36377806444639954,10.149403095778519,8.16665879177492,1.2008033540249756e-13,5.422313047088818
485.6167907736022,0.3563237401770905,10.31904950881326,7.546672458401588,4.784011185062604e-13,5.493842771177751
611.3328361431553,0.45609304852126675,8.816340436092126,7.857284463790407,5.38170581952316e-16,4.843025676430791
544.0940393179993,0.3394737373562939,9.379809289528286,8.151081594014936,4.950554557271706e-12,6.047450455956491
522.7947569508111,0.3473081260280738,8.874494617105503,7.886122946744954,8.084556344624345e-12,6.085527035039407
608.659231013893,0.34632306022232584,9.50237081628691,7.640073469993182,5.279494411628979e-12,6.211686862071086
646.6175955549252,0.4171099249091058,7.844291861429771,8.28756734115186,6.579254647701537e-14,5.543924513210986
603.271743847379,0.38852526302637774,7.358153909467843,7.983116112739672,3.1979303633807108e-12,6.1051063213723715
684.6324631592926,0.5531601298546241,9.009451621927523,8.415609726433527,1.2525041375154311e-20,3.9538579203818376
595.5668155434674,0.3141668445171872,8.275616013638645,8.475329780529634,2.1017480449538812e-10,6.976610903781266
745.8414776566306,0.4890084388520528,5.309841368751995,7.8077790155863,1.4436457913074136e-13,5.839745190479304
565.5784628759088,0.33550992287721976,10.70487911550349,8.270626461521461,6.90208411375518e-13,5.750041621685446
511.96918111748687,0.4366132432811916,7.009668355285754,7.573201346952515,1.980168125986357e-13,5.423561368031572
399.4900735411676,0.442215182199026,7.614681720590223,8.450043333022773,5.358095511787591e-15,4.634997504422033
606.3586243204143,0.33467699959367386,9.351634684041674,7.9153234543533095,1.3138410946214936e-11,6.386413978199083
552.629721128418,0.3866805637276866,7.540016107442353,7.950936594776057,2.5597424554804318e-12,5.947326060041458
602.1251090462039,0.49869711766517283,8.013351170953126,8.429265240284707,2.196085960099721e-17,4.481574461336274
638.2659558681722,0.41162079424763887,8.892694674113784,7.324160450166568,7.177104042509793e-14,5.541317232872924
614.918004926189,0.3616920369709363,4.825988369436774,8.062900824812735,2.4743857357968544e-09,7.684672876787463
496.210357724754,0.5255330070303891,7.859546990801505,7.994128470291007,6.568868166154963e-18,4.1710048937884965
669.3716890858433,0.5087584599146023,7.334695294557499,8.362755935325804,6.391405124557694e-17,4.70093103937746
618.7993095079547,0.4698182145699872,9.148124575291508,7.386566738914702,1.935847948840488e-16,4.739675199179652
717.7868455052073,0.37474930116725125,7.586965576907993,8.096859476072286,6.718055107175039e-12,6.48157799685418
768.7696825065752,0.4491635538225761,5.990022535466863,7.945125447728079,5.140354893380824e-13,6.090259400783184
589.7841380954694,0.47229328608408194,8.982585655713509,7.64840915499161,1.2524840789144013e-16,4.641123373258198
633.2821742724108,0.41039606096383924,7.093739027725671,8.07202891598022,7.716475782974775e-13,5.914408203380132
608.7014650738859,0.3683961838884765,7.964630853334744,8.318201837420457,3.4900705516244404e-12,6.133375154016041
611.6082420201922,0.3299213089022258,8.328497399342993,8.175012181963247,7.338689724102737e-11,6.768309287787739
575.6189819306304,0.46494423963189724,9.391430726783188,8.354284337171501,2.1081009546496884e-17,4.43169121435912
633.4597013259518,0.43884103453176654,7.954690091207703,7.885001519308763,1.5942542877991588e-14,5.314402491297079
524.0588260692799,0.4755064792270467,5.222629149094211,8.287402442339591,1.4675426715448643e-13,5.407240814174728
546.4891113425887,0.3703676395554951,7.494577179296881,7.851348535021869,1.2872899368085045e-11,6.237770948254261
724.0562994653168,0.33569127098202856,8.525423329431423,7.903352599495618,5.5841408133355955e-11,6.948720404033268
579.5875821852778,0.37488780032753183,6.885677208746967,7.566988375016722,4.264457119654557e-11,6.569934612592805
708.8554257429322,0.3918064617871209,6.855201894230361,7.577242349115617,1.3888561960114453e-11,6.613453259567946
670.8070446587346,0.38806437266126154,7.637040413647635,7.78687178440995,2.992694128042171e-12,6.2338131698744
528.952380935991,0.36426668902313675,5.41316993443959,8.167678758631698,5.381990294001674e-10,7.02936744048698
600.0480528201173,0.3736452104096227,9.081274318266873,7.917123641297738,5.430244389769254e-13,5.785804377238717
588.1069673448666,0.4214340756132339,8.128997384225439,7.36908946081886,1.1666211538174984e-13,5.515131049418084
560.3643660554669,0.4112689193331726,8.946966417218466,7.793397208814194,2.541688329411631e-14,5.2346801582540525
703.6857107163017,0.4638889540654231,10.963826739079582,7.683409743111699,3.617769897067545e-18,4.460441085798818
604.0152730524723,0.5573790086840208,7.822854890137956,7.999269147197559,5.449324562977474e-19,4.142660593343934
690.2428033509086,0.26081187626026336,9.6778101682559,8.418500332914144,5.4927014707193415e-09,8.115777758201165
577.7156106731001,0.3981156011995406,8.64771896208734,8.202993881681042,7.528584128866266e-14,5.427407990834726
663.4004077683479,0.3463682393379538,9.36406555850697,7.978747917883391,4.240727396565844e-12,6.285427209679736
498.9658849692133,0.473211868164085,6.851716265750117,8.059642070524372,5.6867643981699525e-15,4.900620321925858
615.1669614203114,0.29788841865919924,9.539999454572113,7.3080830895736115,7.24965287845592e-10,7.341831296895817
570.4788482637022,0.5124910838497339,10.086464946287828,8.071263564838517,7.446307704782783e-20,3.9270462413178975
584.0711827091441,0.4011145725086288,7.132361201323802,7.312470355705133,4.790733400283037e-12,6.1374110924066585
634.4167610227419,0.4498845722070707,9.186030888534683,8.191639429232549,2.2075231981645323e-16,4.7808626891222366
587.4610377046563,0.2907210750044624,8.397340626137744,7.8919692158920025,3.1444132977632496e-09,7.68115101351541
438.7774518255276,0.4890741618747197,9.49377659192172,7.95819840411974,3.059715775691199e-18,3.98088152861059
618.9390124962748,0.38977703977681116,7.986882115006359,7.498656117092435,1.9660992209965745e-12,6.049855932698233
537.0570261976494,0.46448463493147135,8.437100255502948,7.330671280997932,1.4496294725457136e-15,4.8170547549868115
