C0,k_base,DOC,pH,Concentration,Critical_Distance
646.1414743351562,0.2850103230442361,6.981149259904205,7.849335692261293,4.285131776435566e-08,8.709165925522132
408.5621805569101,0.2763821609698546,7.654130199955596,7.5688923517435,3.071457332432229e-08,7.772842179209556
548.3648498684539,0.3400065508427457,8.136835281822183,7.693984049356258,7.364182540308843e-11,6.609891133063293
645.307490679818,0.242346087165907,9.558269487297911,7.762666839112242,7.642367362530975e-08,8.927281929854344
752.9815790699247,0.2726812103045969,6.1743473134037155,8.14400937580469,2.931715705092993e-07,9.773771663762144
511.02442109826313,0.27038842072343805,9.397095645311413,8.183621229295284,3.140257523144152e-09,7.452252936287328
445.12436381687155,0.3829533141258815,7.789816302230008,7.592575841276205,3.1407035000572464e-12,5.6921883057840175
450.74507074806206,0.3178699415514874,8.449565236208972,8.046598637480114,1.5903529902144136e-10,6.490715146343536
577.1955663743009,0.3858156798245279,7.9665243223033455,7.708783916653346,1.914240245596422e-12,5.952958113519181
616.0758870141167,0.3720000195314101,6.825125894868374,7.652378094591194,5.63755619685933e-11,6.719338461072152
489.69542578117284,0.22934840563260228,8.086022743671181,8.489521231400834,4.868265240533188e-07,9.177950781610981
616.3494178590489,0.2902282059533896,8.39404070671226,7.957663606809247,3.188131420798086e-09,7.763403084258818
562.6756928480526,0.26563237227268044,7.672962043525761,7.661132657712273,9.260113024725153e-08,8.753548421660739
507.5694386768897,0.3912082531403219,7.442466187012595,7.880017543189238,2.1561081674551357e-12,5.80326081128103
686.9045966668562,0.27494551323509253,7.751236224690194,8.1818451335397,2.539284101860771e-08,8.624606937227847
512.522891700219,0.3398835085391056,4.985166185969928,7.397533327540386,1.6894576786416262e-08,7.976971007757517
517.4067985694198,0.3225793217807129,6.773513638646145,7.490415469736677,3.3810598806289325e-09,7.494138206655794
737.4934973135869,0.35815440131520154,7.913421997411777,7.975584243585957,1.9590895349157693e-11,6.741203658666426
525.3480217392365,0.38160506595841154,8.142670266582792,7.3339350239305405,3.2722685861677834e-12,5.923793509222234
592.045209321781,0.3520952709990214,8.623454479298706,7.557767294909756,1.4932902727867423e-11,6.379252461507425
656.8574533275216,0.2966378809742416,8.13693667847487,7.913983733945188,2.932894371520604e-09,7.841485614621779
639.3397548081806,0.3386467907225782,8.632999550472315,8.11596937289319,2.300761315364556e-11,6.576627521159459
687.4881493196374,0.2656173559970496,6.28355977828731,7.5207775050957455,7.648964098730568e-07,10.050851813700298
609.4212503519266,0.3123623039943918,7.298049571958421,7.597995865262864,3.615905691930224e-09,7.782745678935271
545.1906177919943,0.29393691117060866,8.747001964803987,7.57309662142599,1.998855987265353e-09,7.428980911812608
650.5697846876299,0.3120687854303666,9.51732241525604,8.47794240190733,3.999218232951171e-11,6.721007265884228
505.5861349362681,0.374214065397959,8.95150886043693,7.681798158389385,8.11213004687863e-13,5.631655709652818
738.3607850699893,0.3369025846501222,8.587244706653074,7.4660127039785955,8.684777788861646e-11,7.08009096025449
617.6163490985296,0.361645451483322,8.138262356486726,8.119419706997165,6.49640660873671e-12,6.271593103967598
476.63369069728606,0.277285840608391,9.740435814718417,8.015987114705013,1.1829220018880047e-09,7.069047460354444
589.4131129411178,0.408227435735885,7.991565985226177,7.321963638952468,5.115240077369849e-13,5.753036246671387
625.8809142163144,0.25856930468773376,8.567999890782206,7.896612371603548,4.7459436949719256e-08,8.690888404581674
651.3119323157819,0.30273323545565956,7.521901969595158,7.873645707356753,4.4164630750816986e-09,7.952403778212755
505.0204717411352,0.3393559374104034,8.401591596672336,7.886365216295005,3.522109142540522e-11,6.331021561955606
498.78151064692474,0.30853978702134943,7.439061262170142,7.759242144758847,2.6994916584162805e-09,7.3690362180933
627.9721709818284,0.3663418665906769,9.20970149562813,7.852567068038058,9.90305941410111e-13,5.946809757038152
463.88395744695646,0.2841945788863985,10.144356179418489,8.415622275977626,1.9370336699413154e-10,6.579477498367372
738.4697313705069,0.3159654883717104,7.021278704683569,8.001635557363599,2.9770706492939332e-09,8.034135776319015
549.2175442795467,0.3159949174086017,9.557775718418425,7.7475969793471196,6.401208634064249e-11,6.581050055891949
456.7004346161271,0.20425104704131455,7.234199369258376,7.624600909828098,2.169518769338664e-05,11.075690006446534
739.4426193111067,0.36172291290133424,8.068761514648594,8.00360262200042,1.047454259115884e-11,6.612421385878077
419.66305302995795,0.33872247878639894,8.065385716766412,7.541933928397424,8.764992218165867e-11,6.251796460416939
491.88249655643483,0.3125135920843487,6.730350011639912,7.826938689074257,5.1055217136653175e-09,7.5312354161044714
620.5301852841814,0.3413210024824521,8.96873591369979,8.39621746107778,6.401750916329426e-12,6.275125710140961
528.0546908557748,0.28951488109590545,7.376367279949357,8.142453216593228,9.783159116521199e-09,7.85138387426265
691.8740660585781,0.3273480263197452,7.8954630241003905,8.22611107718204,1.95565844100438e-10,7.1824000235941865
527.2316019749834,0.3064042284770615,5.195068127494524,7.324774205900113,1.4896846822632092e-07,8.820773526250639
526.0897183820932,0.29692045279533935,8.67719342814418,8.097277778642995,8.251841542900796e-10,7.1313145072965085
545.7132522262416,0.3588525300887988,8.698625926197662,7.918755547029136,3.782467951110269e-12,6.0015371404801865
512.4560610514513,0.3630391554043691,7.076904286510109,7.318902391162232,9.956530677837041e-11,6.577601947080718
674.3931538675369,0.2562051827985351,7.82620376586951,7.87716605595183,1.6253918769697602e-07,9.313240924369623
