Chemical,AA-EQS (micrograms per litre),MAC-EQS (micrograms per litre)
Zinc,10.9,NaN
Cobalt,3,100
Boron,2000,NaN
Manganese,123,NaN
Iron,1000,NaN
Chromium,4.7,32
Calcium,,
Copper,1,NaN
Silver,0.05,0.1
