Site,Metal,Mean Concentration (µg/L),Threshold Type,Threshold (µg/L),Exceedance
Headwaters,Cobalt (Co),-15.726952624031956,AA-EQS,3.0,False
Healaugh Spring,Cobalt (Co),0.0042039231689912,AA-EQS,3.0,False
OGB before swale confluence,Cobalt (Co),-0.641170742892389,AA-EQS,3.0,False
River Swale DS,Cobalt (Co),-1.1713206644121326,AA-EQS,3.0,False
River Swale US,Cobalt (Co),-1.2528490603271625,AA-EQS,3.0,False
SPENCE level,Cobalt (Co),-3.5394902515993856,AA-EQS,3.0,False
Trib 1,Cobalt (Co),-7.863268693971504,AA-EQS,3.0,False
Trib 1 DS,Cobalt (Co),-11.27619878543688,AA-EQS,3.0,False
Trib 1 US,Cobalt (Co),-15.988380655593785,AA-EQS,3.0,False
Trib 2,Cobalt (Co),-2.6875709177782907,AA-EQS,3.0,False
Trib 3,Cobalt (Co),-3.168977886331807,AA-EQS,3.0,False
Trib 3 DS,Cobalt (Co),-5.362498187122388,AA-EQS,3.0,False
Trib 3 US/SPENCE Lv DS,Cobalt (Co),-3.9453460016414175,AA-EQS,3.0,False
Trib 3 USSPENCE Lv DS,Cobalt (Co),-4.364937625008859,AA-EQS,3.0,False
Catchment outflow,Boron (B),4.273689497820937,AA-EQS,2000.0,False
Hard LV,Boron (B),6.533780487589019,AA-EQS,2000.0,False
Hard LV US,Boron (B),2.4130722293529208,AA-EQS,2000.0,False
Headwaters,Boron (B),2.0656376323955503,AA-EQS,2000.0,False
Healaugh Spring,Boron (B),14.521460486275547,AA-EQS,2000.0,False
OGB before swale confluence,Boron (B),7.389563297667222,AA-EQS,2000.0,False
River Swale DS,Boron (B),11.695717814658218,AA-EQS,2000.0,False
River Swale US,Boron (B),12.083998207390934,AA-EQS,2000.0,False
SPENCE level,Boron (B),3.4425507402264155,AA-EQS,2000.0,False
Trib 1,Boron (B),5.038149961509113,AA-EQS,2000.0,False
Trib 1 DS,Boron (B),3.7370104205532906,AA-EQS,2000.0,False
Trib 1 US,Boron (B),3.344209183710755,AA-EQS,2000.0,False
Trib 2,Boron (B),3.7326891955404298,AA-EQS,2000.0,False
Trib 3,Boron (B),3.4141239726543424,AA-EQS,2000.0,False
Trib 3 DS,Boron (B),4.763528914598557,AA-EQS,2000.0,False
Trib 3 US/SPENCE Lv DS,Boron (B),4.131894034684746,AA-EQS,2000.0,False
Trib 3 USSPENCE Lv DS,Boron (B),5.336354150741696,AA-EQS,2000.0,False
Catchment outflow,Manganese (Mn),9.652236091657247,AA-EQS,123.0,False
Hard LV,Manganese (Mn),4.4449233996818585,AA-EQS,123.0,False
Hard LV US,Manganese (Mn),32.97281239937189,AA-EQS,123.0,False
Headwaters,Manganese (Mn),50.93877121514201,AA-EQS,123.0,False
Healaugh Spring,Manganese (Mn),3.9767851528439992,AA-EQS,123.0,False
OGB before swale confluence,Manganese (Mn),0.6702896083375323,AA-EQS,123.0,False
River Swale DS,Manganese (Mn),12.310823166351511,AA-EQS,123.0,False
River Swale US,Manganese (Mn),12.505200160755074,AA-EQS,123.0,False
SPENCE level,Manganese (Mn),12.1233962733017,AA-EQS,123.0,False
Trib 1,Manganese (Mn),48.34926476465277,AA-EQS,123.0,False
Trib 1 DS,Manganese (Mn),52.909287676866384,AA-EQS,123.0,False
Trib 1 US,Manganese (Mn),71.7609287933036,AA-EQS,123.0,False
Trib 2,Manganese (Mn),9.620015796527628,AA-EQS,123.0,False
Trib 3,Manganese (Mn),20.545431072023938,AA-EQS,123.0,False
Trib 3 DS,Manganese (Mn),12.9745510686637,AA-EQS,123.0,False
Trib 3 US/SPENCE Lv DS,Manganese (Mn),13.451842959363816,AA-EQS,123.0,False
Trib 3 USSPENCE Lv DS,Manganese (Mn),13.4635504482088,AA-EQS,123.0,False
Catchment outflow,Iron (Fe),217.2304308475136,AA-EQS,1000.0,False
Hard LV,Iron (Fe),83.86852781214787,AA-EQS,1000.0,False
Hard LV US,Iron (Fe),396.6691074883652,AA-EQS,1000.0,False
Headwaters,Iron (Fe),620.2209233834129,AA-EQS,1000.0,False
Healaugh Spring,Iron (Fe),6.607939137767483,AA-EQS,1000.0,False
OGB before swale confluence,Iron (Fe),14.306033307524253,AA-EQS,1000.0,False
River Swale DS,Iron (Fe),38.53860510903084,AA-EQS,1000.0,False
River Swale US,Iron (Fe),48.99678349015602,AA-EQS,1000.0,False
SPENCE level,Iron (Fe),150.55877603457105,AA-EQS,1000.0,False
Trib 1,Iron (Fe),322.99297093102746,AA-EQS,1000.0,False
Trib 1 DS,Iron (Fe),466.7505985181168,AA-EQS,1000.0,False
Trib 1 US,Iron (Fe),635.0170085733309,AA-EQS,1000.0,False
Trib 2,Iron (Fe),114.6687984886454,AA-EQS,1000.0,False
Trib 3,Iron (Fe),133.35798131892284,AA-EQS,1000.0,False
Trib 3 DS,Iron (Fe),218.22439635111863,AA-EQS,1000.0,False
Trib 3 US/SPENCE Lv DS,Iron (Fe),172.52698533789146,AA-EQS,1000.0,False
